rid,complete,start_time,end_time,duration,identifier,qpid,qsid,qhid,qkt6,qkt5,qkt1,qkt4,qkt3,qkt2,Qktcomp) Computational Logic
609,COMPLETED,2009-09-03 14:49:30,2009-09-03 14:57:24,474,t0074707,1,1,t0074707,2,,,,,,6
610,COMPLETED,2009-09-03 15:06:36,2009-09-03 15:09:22,166,t0087158,1,1,t0087158,,,,,,2,2
604,COMPLETED,2009-09-03 15:16:56,2009-09-03 15:18:48,112,t0012452,3,PDYNCJXL,t0012452,2,,,,,,6
987,COMPLETED,2009-09-03 15:43:01,2009-09-03 16:30:05,2824,12220690,227,SNDYGAYP,12220690,,,,,2,,3
988,COMPLETED,2009-09-03 15:43:34,2009-09-25 20:51:53,1919299,11830569,187,MEVMJHTH,11830569,,,,,1,,3
989,COMPLETED,2009-09-03 15:46:07,2009-09-03 15:58:34,747,12420753,248,MXBUOLYM,12420753,,,,,2,,3
990,COMPLETED,2009-09-03 15:50:25,2009-09-03 16:05:22,897,14541476,474,JGGTSWKG,14541476,,,1,,,,1
991,COMPLETED,2009-09-03 15:51:19,2009-09-03 16:07:53,994,44350205,736,IMBFXCTS,44350205,1,,,,,,6
992,COMPLETED,2009-09-03 15:53:10,2009-09-03 16:41:11,2881,60930041,838,UJJENWKJ,60930041,,,,,,1,2
993,COMPLETED,2009-09-03 15:54:08,2009-09-03 18:08:10,8042,24850234,613,XABSSDLF,24850234,,,1,,,,1
994,COMPLETED,2009-09-03 15:54:32,2009-09-03 16:22:04,1652,21150056,551,SVSDFMVU,21150056,2,,,,,,6
995,COMPLETED,2009-09-03 15:56:28,2009-09-03 16:22:24,1556,81330061,941,VWEQUFSO,81330061,,,,,,2,2
996,COMPLETED,2009-09-03 16:00:27,2009-09-03 16:19:43,1156,14611496,480,LMXYGUUI,14611496,,,,,,2,2
997,COMPLETED,2009-09-03 16:01:34,2009-09-03 16:20:31,1137,84650231,966,RQNKNCJX,84650231,,,1,,,,1
998,COMPLETED,2009-09-03 16:04:40,2009-09-04 08:19:12,58472,84440217,964,MJVMHSUQ,84440217,,1,,,,,5
999,COMPLETED,2009-09-03 16:05:48,2009-09-03 16:24:18,1110,34440210,681,GYSXPCBY,34440210,,1,,,,,5
1000,COMPLETED,2009-09-03 16:07:30,2009-09-03 16:18:53,683,24050192,593,DPSEUTPI,24050192,,,,2,,,4
1001,COMPLETED,2009-09-03 16:12:28,2009-09-03 17:01:18,2930,12320723,239,YJKRIRNW,12320723,,1,,,,,5
1002,COMPLETED,2009-09-03 16:16:01,2009-09-03 16:45:01,1740,11730536,174,VCREVSGL,11730536,1,,,,,,6
1003,COMPLETED,2009-09-03 16:16:43,2009-09-26 08:52:46,1960563,90520021,971,YXOBBJUT,90520021,,,1,,,,1
1004,COMPLETED,2009-09-03 16:17:50,2009-09-03 16:32:48,898,92430111,978,UPCBKTOI,92430111,2,,,,,,6
1005,COMPLETED,2009-09-03 16:28:13,2009-09-03 16:54:17,1564,10410093,38,TTKOJRXO,10410093,2,,,,,,6
1006,COMPLETED,2009-09-03 16:30:09,2009-09-03 16:59:45,1776,10830250,75,TYIKJWUY,10830250,,,,2,,,4
1007,COMPLETED,2009-09-03 16:32:35,2009-09-03 16:45:35,780,13411079,328,EVIIKNQM,13411079,,,,,,,3
1008,COMPLETED,2009-09-03 16:32:59,2009-09-04 23:52:41,112782,30650030,625,NLLOSDXB,30650030,,,,,,,4
1009,COMPLETED,2009-09-03 16:34:45,2009-09-03 16:50:17,932,42830130,719,EKBEICKN,42830130,,,,,1,,3
1010,COMPLETED,2009-09-03 16:35:38,2009-09-03 17:22:58,2840,20820037,544,SEVZSOQS,20820037,2,,,,,,6
1011,COMPLETED,2009-09-03 16:39:06,2009-09-03 17:02:36,1410,44430209,738,HJSUJYEH,44430209,,,,,,1,2
1012,COMPLETED,2009-09-03 16:44:18,2009-09-03 16:55:45,687,14041681,889,GDJRSFVP,14041681,,,,,,2,2
1013,COMPLETED,2009-09-03 16:59:31,2009-09-03 17:29:47,1816,71710078,915,KHNIESMK,71710078,1,,,,,,6
1014,COMPLETED,2009-09-03 17:04:54,2009-09-03 17:48:11,2597,31910086,644,QIIFROJF,31910086,2,,,,,,6
1015,COMPLETED,2009-09-03 17:06:44,2009-09-03 17:28:13,1289,11810560,184,AYKMOPOI,11810560,,,,,,2,2
1016,COMPLETED,2009-09-03 17:08:19,2009-09-03 17:37:57,1778,13521110,342,PMLAPFLI,13521110,1,,,,,,6
1017,COMPLETED,2009-09-03 17:11:18,2009-09-03 17:48:11,2213,60410014,831,YPMWQEGD,60410014,,,,,1,,3
1018,COMPLETED,2009-09-03 17:12:52,2009-09-08 11:27:03,411251,44140194,733,REBQALOF,44140194,,1,,,,,5
1019,COMPLETED,2009-09-03 17:14:12,2009-09-07 03:00:14,294362,11340422,135,WBUHVHCY,11340422,,,,,,1,2
1020,COMPLETED,2009-09-03 17:14:27,2009-09-03 17:45:04,1837,24830232,612,VBPLQUVC,24830232,,,,2,,,4
1021,COMPLETED,2009-09-03 17:15:09,2009-09-03 19:31:56,8207,41810082,709,OVPXEPRS,41810082,,,1,,,,1
1022,COMPLETED,2009-09-03 17:18:21,2009-09-03 17:36:23,1082,41540070,705,JDIQOTQR,41540070,,1,,,,,5
1023,COMPLETED,2009-09-03 17:18:25,2009-09-03 17:36:48,1103,14141322,429,IJBQDEJC,14141322,,,,,1,,3
1024,COMPLETED,2009-09-03 17:18:57,2009-09-03 17:42:15,1398,54140195,808,DNCVPOUJ,54140195,,,1,,,,1
1025,COMPLETED,2009-09-03 17:26:11,2009-09-03 17:46:11,1200,14251371,446,DRFLEFBH,14251371,,,,,1,,3
1026,COMPLETED,2009-09-03 17:28:11,2009-09-03 17:44:04,953,14721547,502,THGGMWCF,14721547,,,,,,1,2
1027,COMPLETED,2009-09-03 17:31:45,2009-09-03 17:42:19,634,11750549,177,CUMTFZQE,11750549,,,,,,,2
1028,COMPLETED,2009-09-03 17:36:49,2009-09-03 18:48:46,4317,10640195,59,CELOMVOE,10640195,,,1,,,,1
